L'HOSPITALET DE LLOBREGAT;31;002970;"Av. Granvia (""Física-Literatura)";427193.792;4579180.883;L80;V
L'HOSPITALET DE LLOBREGAT;32;002971;"Av. Granvia (Física-""Literatura"")";427336.966;4579318.779;L80;V
L'HOSPITALET DE LLOBREGAT;33;000185;"Av. Granvia (""Literatura""-Escultura)";427496.923;4579487.382;L80;V
BARCELONA;34;002363;"Gran Via C. C. (""Radi""-Pl. Cerdà)";427729.665;4579726.768;L80;V
BARCELONA;35;001173;"Gran Via C. C. (Física-""Química"")";427943.381;4579935.777;L80;V
BARCELONA;36;000868;"Gran Via C. C. (Química-""Mineria"")";428116.569;4580112.21;L80;V
BARCELONA;37;000941;"Gran Via C. C. (Trajà-""Mandoni"")";428343.16;4580343.28;L80;V
BARCELONA;38;001310;"Gran Via C. C. (St. Paulí de Nola-""Sta. Dorotea"")";428588.05;4580584.1;L80;V
BARCELONA;39;105118;Av. Paral.lel (Pl. Espanya-Lleida);429092.78;4580929.82;L80;V
BARCELONA;1;105118;Av. Paral.lel (Pl. Espanya-Lleida);429092.78;4580929.82;L81;I
BARCELONA;2;000421;"Gran Via C. C. (St. Roc-""Farell"")";428583.226;4580604.427;L81;I
BARCELONA;3;000907;"Gran Via C. C. (St. Pere d'Abanto-""Moianès"")";428384.97;4580412.94;L81;I
BARCELONA;4;000895;"Gran Via C. C. (Moianès-""Mn. Amadeu Oller"").";428137.208;4580167.835;L81;I
BARCELONA;5;000183;Gran Via C. C. (Av. Carrilet-Pl. Ildefons Cerdà);427878.964;4579934.284;L81;I
BARCELONA;6;003023;Gran Via C. C. (Passat Juan Gris);427592.17;4579653.31;L81;I
L'HOSPITALET DE LLOBREGAT;7;003024;"Av. Granvia (Aprestadora-""Alhambra"")";427417.161;4579483.631;L81;I
L'HOSPITALET DE LLOBREGAT;8;002965;"Av. Granvia (Enric Morera-""Blas Fernandez Lirola"")";427191.744;4579263.27;L81;I
L'HOSPITALET DE LLOBREGAT;9;000092;"Av. Granvia (""Igualtat""-Pl. Europa)";427036.758;4579113.381;L81;I
L'HOSPITALET DE LLOBREGAT;10;002966;Av. Granvia (Pl. Europa-Herrero);426833.176;4578913.093;L81;I
L'HOSPITALET DE LLOBREGAT;11;001434;"Av. Granvia (Sangoneres-""Can Tries"")";426655.803;4578740.548;L81;I
L'HOSPITALET DE LLOBREGAT;12;001612;"Av. Granvia (Rbla. Marina-""Mare de Déu de Bellvitge"")";425646.761;4577773.76;L81;I
L'HOSPITALET DE LLOBREGAT;13;001789;Av. Granvia (Rotonda accés Residència de Bellvitge);425223.827;4577458.526;L81;I
EL PRAT DE LLOBREGAT;14;100209;Autovia Castelldefels (Davant Major-Centre Comercial);424023.434;4576443.461;L81;I
SANT BOI DE LLOBREGAT;15;101749;Cª. del Prat (Km 3);422425.9159;4576230.1031;L81;I
SANT BOI DE LLOBREGAT;16;106069;Cª. del Prat (Saragossa-Osca);420700.6484;4576562.731;L81;I
SANT BOI DE LLOBREGAT;17;107320;"Cª. del Prat (""Salines""-Cª. de BCN Sta Creu Calafell)";420427.2289;4576612.0153;L81;I
SANT BOI DE LLOBREGAT;18;103632;Ctra. de Barcelona a Sta. C. de Calafell (Pl. Europa);420196.953;4576552.71;L81;I
SANT BOI DE LLOBREGAT;19;101666;Cª. BCN a Sta. Creu Calafell (Pl. Llobregat);419986.104;4576335.544;L81;I
SANT BOI DE LLOBREGAT;20;101665;"Cª. BCN a Sta. Creu Calafell (Pl. Garrigues-""Màlaga"")";419787.753;4576138.195;L81;I
SANT BOI DE LLOBREGAT;21;101669;"Cª. BCN a Sta. Creu Calafell (""Riera Fonollar""-Dr. J.Castells)";419502.579;4575872.217;L81;I
SANT BOI DE LLOBREGAT;22;101662;"Cª. BCN a Sta. Creu Calafell (""Mare de Déu de Núria""-Rioja)";419085.46;4575462.52;L81;I
VILADECANS;23;101677;Cª. de Barcelona (Cí. Fondo-Ptge. Tramuntana);418650.514;4575035.788;L81;I
VILADECANS;24;104771;Cª. de Barcelona (Av. Torre roja-Ausiàs Marc);418400.87;4574790.485;L81;I
VILADECANS;25;106178;"Ctra. de Barcelona (""Rbla. Modolell""-Sant Climent)";418185.0303;4574551.3394;L81;I
VILADECANS;26;100558;"Av. Generalitat (Àngel Guimerà-""Dr. Creixell"")";418025.131;4574346.102;L81;I
VILADECANS;27;100556;Av. Generalitat (Anselm Clavé-Av. Josep Tarradellas);417802.699;4574065.41;L81;I
VILADECANS;28;100562;"Av. Generalitat (Santiago Rusiñol- ""Av. Dr. Fleming"")";417516.143;4573694.823;L81;I
GAVÀ;29;106377;"Cª. BCN a Sta. Creu Calafell (Sarrià-""Rbla.Vayreda"")";417157.264;4573228.296;L81;I
GAVÀ;30;106466;Cª. BCN a Sta. Creu de Calafell (American Lake-Olocau);416863.311;4572865.77;L81;I
